After_taken_pixel,CPU,RAM,ROM,S5G,inner_href,name,phone_name,pic,price,resolution
未知后摄像素,暂无型号,未知运行内存,128GB,不支持5G,https://item.jd.com/100026697590.html,AppleiPhone 13 Pro,,https://img10.360buyimg.com/n7/jfs/t1/80409/39/16710/33265/61419e27Ec8887dd6/cb7b07fbf9b7f38a.jpg,8799.00,未知分辨率
未知后摄像素,暂无型号,其他,其他,支持5G,https://item.jd.com/100015289283.html,vivoT1,,https://img13.360buyimg.com/n7/jfs/t1/176530/29/25508/89579/61d3af96E98bf9301/e790f53f81c6c28f.jpg,2199.00,其他
未知后摄像素,暂无型号,其他,128GB,支持5G,https://item.jd.com/100014374139.html,AppleiPhone 13,,https://img14.360buyimg.com/n7/jfs/t1/171805/18/21420/35699/61417df3E609e0588/bb95087f5e6ecda6.jpg,5999.00,其他
6400万像素,骁龙888,8GB,128GB,支持5G,https://item.jd.com/10026661173521.html,小米（MI）红米K40pro,,https://img11.360buyimg.com/n7/jfs/t1/219617/24/12179/117322/62021737E0492adfb/cd822f79ca7eeca7.jpg,2558.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10039869166789.html,未知商品名,,https://img14.360buyimg.com/n7/jfs/t1/157026/4/24363/95827/61cd8623E15ee9e19/db1c8b79f6b0e66a.jpg,1199.00,未知分辨率
未知后摄像素,暂无型号,未知运行内存,256GB,不支持5G,https://item.jd.com/100026696624.html,AppleiPhone 13,,https://img14.360buyimg.com/n7/jfs/t1/202804/6/6803/36390/6141a8d7E37665a78/809c2a99a72b432d.jpg,6499.00,未知分辨率
4800万像素,骁龙778G,6GB,128GB,支持5G,https://item.jd.com/10041032880317.html,realme 真我Q3s/Q3t 新品5G手机 骁龙778G 144Hz可变帧电竞屏 Q3s夜空蓝【6GB+128GB】 官方标配【90天碎屏险+20晒单红包】,,https://img12.360buyimg.com/n7/jfs/t1/109757/5/23102/299404/6219f328Eb5eb065c/9750a2f059e802f1.jpg,1299.00,全高清FHD+
1600万像素,天玑700,4GB,128GB,支持5G,https://item.jd.com/100011532463.html,中兴ZTE 7530N,,https://img13.360buyimg.com/n7/jfs/t1/93926/4/25535/421274/6245a589Ec10a5e34/53c47ea56ff3aaeb.jpg,1348.00,高清HD+
未知后摄像素,暂无型号,12GB,256GB,支持5G,https://item.jd.com/100034254902.html,vivoiQOO 7,,https://img12.360buyimg.com/n7/jfs/t1/135767/22/21578/86270/6237d571Ef6d61dff/2bb08d50a02a2c02.jpg,2999.00,其他
未知后摄像素,天玑1100,6GB,128GB,不支持5G,https://item.jd.com/10031526285078.html,小米（MI）红米Note,,https://img13.360buyimg.com/n7/jfs/t1/209661/19/15094/155802/61d8fb81E899f885c/84f5f6af973939c2.jpg,1399.00,全高清FHD+
